timestamp,phase,iteration,global_step,episode_len,buffer_size,loss,policy_loss,value_loss,entropy,kl,lr,lr_multiplier,arena_winrate,baseline_winrate,updated_best,eval_games,board_w,board_h,n_in_row,n_playout,c_puct,temp,device
1775641889.7223415,selfplay,428,2134,40,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641889.9089878,update,428,2139,40,10000,2.292583465576172,1.473171591758728,0.8194119334220886,1.5929865837097168,0.01185286,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641909.659572,selfplay,429,2139,64,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641909.8193707,update,429,2144,64,10000,2.4069418907165527,1.546293020248413,0.8606489300727844,1.615936279296875,0.012151925,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641930.2727146,selfplay,430,2144,64,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641930.4649968,update,430,2149,64,10000,2.4334187507629395,1.635972499847412,0.7974461317062378,1.669588327407837,0.01747638,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641942.5922844,selfplay,431,2149,33,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641942.8030558,update,431,2154,33,10000,2.580914258956909,1.6511480808258057,0.9297661781311035,1.6491528749465942,0.01821838,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641953.6368437,selfplay,432,2154,28,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641953.8567128,update,432,2159,28,10000,2.5537078380584717,1.611562967300415,0.9421449303627014,1.6652071475982666,0.010831773,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641969.9842634,selfplay,433,2159,46,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641970.1744685,update,433,2164,46,10000,2.521463394165039,1.6538820266723633,0.8675813674926758,1.7255220413208008,0.01094188,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641981.240115,selfplay,434,2164,30,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641981.4499285,update,434,2169,30,10000,2.592292547225952,1.712549090385437,0.8797433972358704,1.7406283617019653,0.0135489805,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641992.524956,selfplay,435,2169,29,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641992.7335112,update,435,2174,29,10000,2.5115156173706055,1.6072876453399658,0.9042278528213501,1.6833765506744385,0.02801044,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642002.9803433,selfplay,436,2174,27,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642003.1701941,update,436,2179,27,10000,2.5700488090515137,1.6775397062301636,0.8925092220306396,1.6599043607711792,0.031305864,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642018.5808628,selfplay,437,2179,47,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642018.7852821,update,437,2184,47,10000,2.5309860706329346,1.6656110286712646,0.8653751015663147,1.6245149374008179,0.013156079,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642029.8623657,selfplay,438,2184,29,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642030.066161,update,438,2189,29,10000,2.424490451812744,1.5675326585769653,0.8569579124450684,1.6461820602416992,0.021406488,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642041.0349207,selfplay,439,2189,31,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642041.2307305,update,439,2194,31,10000,2.3934738636016846,1.533277988433838,0.8601958751678467,1.5825626850128174,0.014512725,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642056.639318,selfplay,440,2194,48,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642056.8405333,update,440,2199,48,10000,2.5593314170837402,1.6195489168167114,0.9397825598716736,1.730069875717163,0.029087234,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642068.342808,selfplay,441,2199,31,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642068.5394864,update,441,2204,31,10000,2.559643268585205,1.622120976448059,0.937522292137146,1.6562505960464478,0.013546254,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642079.5036826,selfplay,442,2204,30,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642079.6937962,update,442,2209,30,10000,2.5147829055786133,1.5968797206878662,0.9179032444953918,1.6831265687942505,0.020679213,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642090.1746614,selfplay,443,2209,25,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642090.3773942,update,443,2214,25,10000,2.5147817134857178,1.6110458374023438,0.9037358164787292,1.6599100828170776,0.015323635,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642109.470569,selfplay,444,2214,58,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642109.6664937,update,444,2219,58,10000,2.5145864486694336,1.6477890014648438,0.8667975068092346,1.6551228761672974,0.018379604,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642121.5561514,selfplay,445,2219,29,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642121.7768939,update,445,2224,29,10000,2.5045533180236816,1.6225529909133911,0.8820003867149353,1.6737085580825806,0.017516425,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642134.250441,selfplay,446,2224,33,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642134.4494927,update,446,2229,33,10000,2.4044854640960693,1.5802050828933716,0.824280321598053,1.6418702602386475,0.016357835,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642145.8801305,selfplay,447,2229,28,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642146.075791,update,447,2234,28,10000,2.453991413116455,1.645390272140503,0.8086012601852417,1.6686584949493408,0.03026261,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642161.0700443,selfplay,448,2234,42,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642161.2698677,update,448,2239,42,10000,2.4179277420043945,1.5607049465179443,0.8572226762771606,1.6155645847320557,0.012326937,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642174.0929954,selfplay,449,2239,34,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642174.2935276,update,449,2244,34,10000,2.4389989376068115,1.5708999633789062,0.86809903383255,1.6268545389175415,0.0140545,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642193.0019124,selfplay,450,2244,57,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642193.2202435,update,450,2249,57,10000,2.4497122764587402,1.545175313949585,0.9045369029045105,1.6662946939468384,0.023065638,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775642606.2359197,eval,450,2249,57,10000,,,,,,0.0002633744855967078,0.1316872427983539,0.5,1.0,0,20,8,8,5,400,5,1.0,cpu
